work_key	canonical	htid_count	pd_count	record_count	matched_oclc	oclc_tried	sample_htids
OL6196061W	0	1	1	1	2327545	1	uc2.ark:/13960/t2j679h7v
OL6208747W	0	3	3	1	15610827	1	uc2.ark:/13960/t3kw5b364|uc1.$b244283|njp.32101063691198
OL6555273W	0	1	0	1	3939071	2	uc1.$b299883
OL6713405W	0	0	0	0		1	
OL6713420W	0	0	0	0		2	
OL6778810W	0	0	0	0		1	
OL6796684W	0	2	2	1	16787755	2	uc2.ark:/13960/t4cn7214q|uc1.$b275479
OL6911700W	0	4	4	1	1348271	9	mdp.39015065669478|coo1.ark:/13960/t52f89h8m|uc1.b3477480
OL7017009W	0	1	0	1	243170	7	uc1.32106002144449
OL7096251W	0	1	0	1	138420	2	mdp.39076006157288
OL7375224W	0	3	3	1	5176236	1	hvd.hx4um9|uc2.ark:/13960/t93776p2p|njp.32101067634228
OL7413809W	0	0	0	0		1	
OL7421066W	0	0	0	0		1	
OL7490142W	0	1	0	1	36559810	1	osu.32435053522819
OL7551122W	0	0	0	0		1	
OL7578888W	0	1	0	1	3319003	1	nyp.33433101945164
OL7591059W	0	0	0	0		1	
OL7655984W	0	0	0	0		1	
OL7656906W	0	1	1	1	11474193	1	mdp.39015047752699
OL7700391W	0	0	0	0		2	
OL7726564W	0	0	0	0		1	
OL7735885W	0	1	1	1	8778446	1	nyp.33433044548828
OL7763500W	0	0	0	0		1	
OL7775308W	0	0	0	0		1	
OL77774W	0	1	0	1	7632238	6	mdp.39015009242085
OL7843354W	0	2	2	1	3386121	1	hvd.hn1kpu|nyp.33433075746788
OL7845945W	0	1	1	1	10337460	1	umn.319510023206961
OL7858655W	0	2	2	1	6542860	1	osu.32435017987314|uc2.ark:/13960/t0qr4nw79
OL7899142W	0	2	2	1	3736776	1	uc2.ark:/13960/t7pn90f0q|uva.x002419483
OL8125158W	0	1	1	1	2087024	5	hvd.32044011553013
OL869878W	0	1	0	1	7799778	4	uva.x000936835
OL9158640W	0	0	0	0		1	
OL93729W	0	0	0	0		1	
OL99522W	0	0	0	0		3	
OL1066071W	0	3	3	1	615925	8	uc2.ark:/13960/t2k64k50g|nyp.33433075747018|mdp.39015014609724
OL11288461W	0	3	0	1	1737012	1	mdp.39015033681167|uc1.$b658914|uc1.b3477270
OL1184870W	0	1	0	1	24258641	8	osu.32435054655527
OL12200459W	0	0	0	0		1	
OL12296322W	0	0	0	0		1	
OL13104613W	0	3	3	1	10858716	1	hvd.hnp4pb|hvd.hnnv8e|hvd.hwkqll
OL1313024W	0	0	0	0		1	
OL1349257W	0	1	0	1	10146425	2	mdp.39015008178132
OL13704970W	0	4	4	1	1987286	1	uiuo.ark:/13960/t49p3f891|hvd.hw2ofs|uiuo.ark:/13960/t6j10fb4j
OL1427019W	0	1	0	1	16888868	4	mdp.39015048589645
OL1471547W	0	1	1	1	6657022	1	uva.x001497823
OL14848628W	0	2	2	1	1463913	3	hvd.hn6qmj|nyp.33433076064488
OL1489145W	0	2	2	1	2410391	3	nnc1.1002150107|njp.32101068178928
OL1491918W	0	0	0	0		1	
OL1497770W	0	2	2	1	7457131	2	uc2.ark:/13960/t5x63bg7j|umn.31951002170233p
OL1500838W	0	3	3	1	4881292	1	uc2.ark:/13960/t6833nv81|hvd.hw1y8n|wu.89007380546
OL1517919W	0	0	0	0		2	
OL15233455W	0	0	0	0		1	
OL1525395W	0	2	2	1	1276096	2	hvd.hx5a28|nyp.33433112010248
OL154593W	0	1	0	1	31606792	4	mdp.39076001746135
OL1573588W	0	1	0	1	5056262	3	pst.000031418362
OL15744318W	0	0	0	0		1	
OL15870638W	0	0	0	0		1	
OL15944268W	0	0	0	0		1	
OL16085305W	0	0	0	0		1	
OL16659082W	0	0	0	0		1	
OL16872706W	0	1	1	1	6824391	1	hvd.hn1fgz
OL17084226W	0	5	5	1	899212533	1	nc01.ark:/13960/t70w1nw12|nc01.ark:/13960/t3bz9c80x|nc01.ark:/13960/t68370539
OL17180838W	0	1	1	1	11315579	2	uiug.30112040257708
OL17374399W	0	1	1	1	23244449	1	nyp.33433074940622
OL1794724W	0	3	3	1	03057582	5	mdp.39015064541637|hvd.hn1l1b|uc1.b4729769
OL1796217W	0	2	2	1	5818039	1	hvd.hn5i2v|nyp.33433082530720
OL1796309W	0	1	1	1	11851726	1	nyp.33433082530977
OL1796780W	0	2	2	1	2772830	6	hvd.hnjbw9|coo1.ark:/13960/t84j12296
OL18077382W	0	36	36	1	573972	1	nyp.33433112044734|nyp.33433074909577|nyp.33433074909585
OL183452W	0	0	0	0		2	
OL18491006W	0	1	0	1	729012	1	osu.32435012858312
OL19665228W	0	0	0	0		1	
OL1989831W	0	1	0	1	1277259	1	uc1.$b101589
OL200281W	0	2	2	1	6726676	2	uc2.ark:/13960/t3mw2hz8j|uc1.b3325590
OL2030291W	0	1	0	1	301762	4	mdp.39015030437118
OL206990W	0	2	2	1	10337393	1	nyp.33433075770226|umn.31951002057200o
